date,code,label,close,source,fetched_at
1999-04-30,0001,KOSPI,752.59,kis_api,2026-08-17T02:03:27+00:00
1999-04-30,000660,SK하이닉스,243029.0,kis_api,2026-08-17T02:03:21+00:00
1999-05-31,0001,KOSPI,736.02,kis_api,2026-08-17T02:03:27+00:00
1999-05-31,000660,SK하이닉스,258306.0,kis_api,2026-08-17T02:03:21+00:00
1999-06-30,0001,KOSPI,883.0,kis_api,2026-08-17T02:03:27+00:00
1999-06-30,000660,SK하이닉스,272508.0,kis_api,2026-08-17T02:03:21+00:00
1999-07-30,0001,KOSPI,969.72,kis_api,2026-08-17T02:03:27+00:00
1999-07-30,000660,SK하이닉스,518387.0,kis_api,2026-08-17T02:03:21+00:00
1999-08-31,0001,KOSPI,937.88,kis_api,2026-08-17T02:03:27+00:00
1999-08-31,000660,SK하이닉스,665737.0,kis_api,2026-08-17T02:03:21+00:00
1999-09-30,0001,KOSPI,836.18,kis_api,2026-08-17T02:03:27+00:00
1999-09-30,000660,SK하이닉스,585848.0,kis_api,2026-08-17T02:03:21+00:00
1999-10-29,0001,KOSPI,833.51,kis_api,2026-08-17T02:03:27+00:00
1999-10-29,000660,SK하이닉스,354172.0,kis_api,2026-08-17T02:03:21+00:00
1999-11-30,0001,KOSPI,996.66,kis_api,2026-08-17T02:03:27+00:00
1999-11-30,000660,SK하이닉스,467185.0,kis_api,2026-08-17T02:03:21+00:00
1999-12-28,0001,KOSPI,1028.07,kis_api,2026-08-17T02:03:27+00:00
1999-12-28,000660,SK하이닉스,473074.0,kis_api,2026-08-17T02:03:21+00:00
2000-01-31,0001,KOSPI,943.88,kis_api,2026-08-17T02:03:27+00:00
2000-01-31,000660,SK하이닉스,518222.0,kis_api,2026-08-17T02:03:21+00:00
2000-02-29,0001,KOSPI,828.38,kis_api,2026-08-17T02:03:27+00:00
2000-02-29,000660,SK하이닉스,351370.0,kis_api,2026-08-17T02:03:21+00:00
2000-03-31,0001,KOSPI,860.94,kis_api,2026-08-17T02:03:27+00:00
2000-03-31,000660,SK하이닉스,482888.0,kis_api,2026-08-17T02:03:21+00:00
2000-04-28,0001,KOSPI,725.39,kis_api,2026-08-17T02:03:27+00:00
2000-04-28,000660,SK하이닉스,345481.0,kis_api,2026-08-17T02:03:21+00:00
2000-05-31,0001,KOSPI,731.88,kis_api,2026-08-17T02:03:27+00:00
2000-05-31,000660,SK하이닉스,345481.0,kis_api,2026-08-17T02:03:21+00:00
2000-06-30,0001,KOSPI,821.22,kis_api,2026-08-17T02:03:27+00:00
2000-06-30,000660,SK하이닉스,431851.0,kis_api,2026-08-17T02:03:21+00:00
2000-07-31,0001,KOSPI,705.97,kis_api,2026-08-17T02:03:27+00:00
2000-07-31,000660,SK하이닉스,341555.0,kis_api,2026-08-17T02:03:21+00:00
2000-08-31,0001,KOSPI,688.62,kis_api,2026-08-17T02:03:27+00:00
2000-08-31,000660,SK하이닉스,398481.0,kis_api,2026-08-17T02:03:21+00:00
2000-09-29,0001,KOSPI,613.22,kis_api,2026-08-17T02:03:27+00:00
2000-09-29,000660,SK하이닉스,313092.0,kis_api,2026-08-17T02:03:21+00:00
2000-10-31,0001,KOSPI,514.48,kis_api,2026-08-17T02:03:27+00:00
2000-10-31,000660,SK하이닉스,137211.0,kis_api,2026-08-17T02:03:21+00:00
2000-11-30,0001,KOSPI,509.23,kis_api,2026-08-17T02:03:27+00:00
2000-11-30,000660,SK하이닉스,134266.0,kis_api,2026-08-17T02:03:21+00:00
2000-12-26,0001,KOSPI,504.62,kis_api,2026-08-17T02:03:27+00:00
2000-12-26,000660,SK하이닉스,79009.0,kis_api,2026-08-17T02:03:21+00:00
2001-01-31,0001,KOSPI,617.91,kis_api,2026-08-17T02:03:27+00:00
2001-01-31,000660,SK하이닉스,114833.0,kis_api,2026-08-17T02:03:21+00:00
2001-02-28,0001,KOSPI,578.1,kis_api,2026-08-17T02:03:27+00:00
2001-02-28,000660,SK하이닉스,73611.0,kis_api,2026-08-17T02:03:21+00:00
2001-03-30,0001,KOSPI,523.22,kis_api,2026-08-17T02:03:27+00:00
2001-03-30,000660,SK하이닉스,61931.0,kis_api,2026-08-17T02:03:21+00:00
2001-04-30,0001,KOSPI,577.36,kis_api,2026-08-17T02:03:27+00:00
2001-04-30,000660,SK하이닉스,66446.0,kis_api,2026-08-17T02:03:21+00:00
2001-05-31,0001,KOSPI,612.16,kis_api,2026-08-17T02:03:27+00:00
2001-05-31,000660,SK하이닉스,85192.0,kis_api,2026-08-17T02:03:21+00:00
2001-06-29,0001,KOSPI,595.13,kis_api,2026-08-17T02:03:27+00:00
2001-06-29,000660,SK하이닉스,54864.0,kis_api,2026-08-17T02:03:21+00:00
2001-07-31,0001,KOSPI,541.55,kis_api,2026-08-17T02:03:27+00:00
2001-07-31,000660,SK하이닉스,26990.0,kis_api,2026-08-17T02:03:21+00:00
2001-08-31,0001,KOSPI,545.11,kis_api,2026-08-17T02:03:27+00:00
2001-08-31,000660,SK하이닉스,16292.0,kis_api,2026-08-17T02:03:21+00:00
2001-09-28,0001,KOSPI,479.68,kis_api,2026-08-17T02:03:27+00:00
2001-09-28,000660,SK하이닉스,17372.0,kis_api,2026-08-17T02:03:21+00:00
2001-10-31,0001,KOSPI,537.81,kis_api,2026-08-17T02:03:27+00:00
2001-10-31,000660,SK하이닉스,21887.0,kis_api,2026-08-17T02:03:21+00:00
2001-11-30,0001,KOSPI,643.89,kis_api,2026-08-17T02:03:27+00:00
2001-11-30,000660,SK하이닉스,42105.0,kis_api,2026-08-17T02:03:21+00:00
2001-12-28,0001,KOSPI,693.7,kis_api,2026-08-17T02:03:27+00:00
2001-12-28,000660,SK하이닉스,47503.0,kis_api,2026-08-17T02:03:21+00:00
2002-01-31,0001,KOSPI,748.07,kis_api,2026-08-17T02:03:27+00:00
2002-01-31,000660,SK하이닉스,47896.0,kis_api,2026-08-17T02:03:21+00:00
2002-02-28,0001,KOSPI,819.99,kis_api,2026-08-17T02:03:27+00:00
2002-02-28,000660,SK하이닉스,31701.0,kis_api,2026-08-17T02:03:21+00:00
2002-03-29,0001,KOSPI,895.58,kis_api,2026-08-17T02:03:27+00:00
2002-03-29,000660,SK하이닉스,28266.0,kis_api,2026-08-17T02:03:21+00:00
2002-04-30,0001,KOSPI,842.34,kis_api,2026-08-17T02:03:27+00:00
2002-04-30,000660,SK하이닉스,18746.0,kis_api,2026-08-17T02:03:21+00:00
2002-05-31,0001,KOSPI,796.4,kis_api,2026-08-17T02:03:27+00:00
2002-05-31,000660,SK하이닉스,13544.0,kis_api,2026-08-17T02:03:21+00:00
2002-06-28,0001,KOSPI,742.72,kis_api,2026-08-17T02:03:27+00:00
2002-06-28,000660,SK하이닉스,5103.0,kis_api,2026-08-17T02:03:21+00:00
